No,ServiceProvider,Customer
1,AWS,Coursera
2,AWS,Palringo
3,AWS,ZocDoc
4,AWS,Fox Digital Consumer Group
5,AWS,Travelex
6,AWS,WeWork
7,AWS,McDonald's
8,AWS,Verizon Wireless 
9,AWS,GoPro
10,AWS,Vend
11,AWS,The Washington Post
12,AWS,Corteva Agriscience
13,AWS,Cookpad
14,AWS,Veritone
15,AWS,EBSCO
16,AWS,Segment
17,AWS,Vidsy
18,AWS,Honeywell Movilizer
19,AWS,Remind 
20,AWS,Pearson
21,AWS,TIBCO 
22,Azure,Adobe
23,Azure,DriveTime
24,Azure,Johnson Controls
25,Azure,A.P. Moller - Maersk
26,Azure,HP
27,Azure,IHG
28,Azure,ASOS
29,Azure,Pacifico Seguros
30,Azure,GRISARD
31,Azure,Seattle Seahawks
32,Azure,Polycom
33,Azure,3M informatics
34,Azure,3M informatics
35,Azure,343 Inductries
36,Azure,Youth Employment Service (YES)
37,Azure,Wineshipping
38,Azure,Spaactor GmbH
39,Azure,ABB Group
40,Azure,ABBYY
41,Azure,ABN AMRO BANK
42,Azure,Asics
43,Azure,Uklon
44,Azure,T-Mobile
45,Azure,Thomson Reuters
46,Google Cloud,HSBC
47,Google Cloud,Target
48,Google Cloud,Twitter
49,Google Cloud,WeightWatchers
50,Google Cloud,PayPal
51,Google Cloud,Bloomberg
52,Google Cloud,Nielsen
53,Google Cloud,Lahey Health
54,Google Cloud,20th Century Fox
55,Google Cloud,American Cancer Society
56,Google Cloud,American Eagle Outfitters
57,Google Cloud,Ebay
58,Google Cloud,Broad Institute
59,Google Cloud,Chevron
60,Google Cloud,Colgate-Palmolive
61,Google Cloud,GO-JEK
62,Google Cloud,Keller Williams
63,Google Cloud,Keybank
64,Google Cloud,LATAM Airlines
65,Google Cloud,LG CNS
66,Google Cloud,McKesson
67,Google Cloud,Metro
68,Google Cloud,National Institutes of Health
69,Google Cloud,The New York Times
70,Google Cloud,Scotiabank 
71,Google Cloud,Sky U.K.
72,Google Cloud,SoulCycle
73,Oracle Cloud,Sejel Technology
74,Oracle Cloud,Kingold Group
75,Oracle Cloud,n11.com
76,Oracle Cloud,AT&T
77,Oracle Cloud,Sentry Data Systems
78,Oracle Cloud,Dialog Semiconductor
79,IBM Cloud,Ubank
80,IBM Cloud,Bitly
81,IBM Cloud,Eurobits
82,IBM Cloud,DataSkill
83,IBM Cloud,1DOC3
84,IBM Cloud,Advansolar
85,IBM Cloud,Ambi Labs
86,IBM Cloud,AppLift
87,IBM Cloud,Artomatix
88,IBM Cloud,Point of Care
89,IBM Cloud,Avnet
90,IBM Cloud,Bendigo and Adelaide Bank
91,IBM Cloud,Bernhardt Furniture
92,IBM Cloud,BlocPower
93,IBM Cloud,Bluebee
94,IBM Cloud,BlueChasm
95,IBM Cloud,Blueprint Genetics
96,IBM Cloud,BP3
97,IBM Cloud,BYTE
98,IBM Cloud,Capgemini 
99,IBM Cloud,Carbip app
100,IBM Cloud,Chaotic Moon
101,IBM Cloud,Copenhagen Business School
102,IBM Cloud,Darwin Ecosystems
103,IBM Cloud,Doctome
104,IBM Cloud,EPEL-CACT
105,IBM Cloud,Interac
106,IBM Cloud,GameFly Streaming
107,Alibaba Cloud,Tokopedia
108,Alibaba Cloud,ChartDesk
109,Alibaba Cloud,Cynopsis
110,Alibaba Cloud,Chemist Warehouse
111,Alibaba Cloud,AppsFlyer
112,Alibaba Cloud,TFI
113,Alibaba Cloud,Oniontech
114,Alibaba Cloud,AramHuvis
115,Alibaba Cloud,VisualCamp
116,Alibaba Cloud,Rocketbots
117,Alibaba Cloud,Emperor Group
118,Alibaba Cloud,Lazada
119,Alibaba Cloud,indonet
120,Alibaba Cloud,Territory Studio
121,Alibaba Cloud,Costa Cruises
122,Alibaba Cloud,SenseTime
123,Alibaba Cloud,Ford
124,Alibaba Cloud,Shiseido
125,Alibaba Cloud,OpenRice
126,Alibaba Cloud,IHG
127,Alibaba Cloud,Remark Holdings
128,Alibaba Cloud,Redspots
129,Alibaba Cloud,AirAsia
130,Alibaba Cloud,Daily Yoga
131,Alibaba Cloud,TwoSigmas
132,Alibaba Cloud,Tokopedia
